brand,model,count,avg_price,min_price,max_price,min_year,max_year,avg_mileage
Chevrolet,Van,1,4100000.0,4100000,4100000,1995,1995,100000.0
Chrysler,PT Cruiser,1,2500000.0,2500000,2500000,2002,2002,
Citroen,Xsara Picasso,1,1350000.0,1350000,1350000,2001,2001,277000.0
Daewoo,Nubira,1,1850000.0,1850000,1850000,1999,1999,300000.0
Deepal,S05,1,11800000.0,11800000,11800000,2025,2025,8000.0
Deepal,S07 Max AD Pro 215,1,12000000.0,12000000,12000000,2025,2025,
Deepal,S07 Max ADS SE 215,1,11800000.0,11800000,11800000,2025,2025,50.0
Deepal,S07 Ultra ADS SE 300,1,14590000.0,14590000,14590000,2025,2025,15.0
Deepal,S09 RWD Max,1,19500000.0,19500000,19500000,2025,2025,14.0
Deepal,S09 RWD Ultra,1,19500000.0,19500000,19500000,2025,2025,8.0
Deepal,SL03,1,10000000.0,10000000,10000000,2025,2025,
Dodge,Caliber,1,3700000.0,3700000,3700000,2007,2007,266928.0
DongFeng,Forthing T5L,1,14800000.0,14800000,14800000,2022,2022,11000.0
DongFeng,Nano (Nammi),1,8000000.0,8000000,8000000,2024,2024,26.0
DongFeng,Paladin,1,17500000.0,17500000,17500000,2024,2024,
EXEED,RX,1,11760000.0,11760000,11760000,2023,2023,37147.0
FAW,Besturn B50,1,1800000.0,1800000,1800000,2013,2013,
FAW,V80,1,3300000.0,3300000,3300000,2014,2014,215000.0
Ford,Bronco,1,9000000.0,9000000,9000000,1989,1989,150000.0
Ford,Fiesta,1,3990000.0,3990000,3990000,2017,2017,202589.0
Ford,Fusion,1,4500000.0,4500000,4500000,2008,2008,121376.0
Ford,Sierra,1,1200000.0,1200000,1200000,1990,1990,200000.0
Ford,Transit,1,3800000.0,3800000,3800000,2010,2010,
Foton,Alpha,1,7800000.0,7800000,7800000,2022,2022,10200.0
GAC,GS3 Flagship-R,1,11490000.0,11490000,11490000,2025,2025,
GAC,Trumpchi M8,1,24300000.0,24300000,24300000,2024,2024,50000.0
Geely,Atlas,1,8700000.0,8700000,8700000,2023,2023,110000.0
Geely,Atlas Premium 2.0T,1,12690000.0,12690000,12690000,2025,2025,
Geely,Azkarra,1,8690000.0,8690000,8690000,2023,2023,60000.0
Geely,Emgrand Comfort AT,1,7890000.0,7890000,7890000,2025,2025,
Geely,Emgrand Comfort MT,1,7290000.0,7290000,7290000,2025,2025,
Geely,Emgrand EC7,1,2400000.0,2400000,2400000,2014,2014,150000.0
Geely,Emgrand Standard,1,6590000.0,6590000,6590000,2025,2025,
Geely,Emgrand X7,1,2700000.0,2700000,2700000,2014,2014,245000.0
Geely,GC6,1,1300000.0,1300000,1300000,2015,2015,200000.0
Geely,Galaxy Cityray,1,8290000.0,8290000,8290000,2025,2025,
Geely,Galaxy Cityray GC,1,8290000.0,8290000,8290000,2026,2026,
Geely,Galaxy Cityray GF,1,10690000.0,10690000,10690000,2026,2026,
Geely,Galaxy E5,1,7790000.0,7790000,7790000,2024,2024,27668.0
Geely,Galaxy EX5 EM-i,1,11990000.0,11990000,11990000,2025,2025,
Geely,Galaxy EX5 EM-i Pro,1,11990000.0,11990000,11990000,2026,2026,
Geely,Galaxy Preface,1,9590000.0,9590000,9590000,2025,2025,
Geely,Galaxy Preface GF,1,11690000.0,11690000,11690000,2026,2026,
Geely,Galaxy Preface GL,1,9590000.0,9590000,9590000,2026,2026,
Genesis,G70,1,18000000.0,18000000,18000000,2022,2022,12000.0
Genesis,G80,1,15990000.0,15990000,15990000,2021,2021,42015.0
Genesis,GV80,1,27700000.0,27700000,27700000,2021,2021,27000.0
Genesis,GV80 2.5T,1,44417022.0,44417022,44417022,2025,2025,
Genesis,GV80 Coupe 3.5T,1,62016669.0,62016669,62016669,2025,2025,
Great,Wall Poer KingKong,1,11500000.0,11500000,11500000,2023,2023,59000.0
Great,Wall Wingle 3,1,2800000.0,2800000,2800000,2007,2007,245560.0
Great,Wall Wingle 6,1,5700000.0,5700000,5700000,2014,2014,190800.0
Haval,F7x,1,7500000.0,7500000,7500000,2021,2021,98000.0
Haval,H6 Premium 1.5T 2WD,1,10531500.0,10531500,10531500,2026,2026,5.0
Haval,H6 Premium 2.0T 2WD,1,12390000.0,12390000,12390000,2026,2026,
Haval,H9,1,24000000.0,24000000,24000000,2025,2025,8000.0
Haval,H9 Premium,1,19711500.0,19711500,19711500,2025,2025,
Haval,Jolion Elite 1.5T DCT (2WD),1,8437800.0,8437800,8437800,2025,2025,
Haval,M6 Comfort 1.5T MT,1,7453800.0,7453800,7453800,2025,2025,
Haval,Shenshou,1,9800000.0,9800000,9800000,2023,2023,100.0
HiPhi,Y,1,35000000.0,35000000,35000000,2025,2025,
Honda,Accord,1,1300000.0,1300000,1300000,1991,1991,240000.0
Honda,Elysion,1,5500000.0,5500000,5500000,2006,2006,
Honda,Jazz,1,2600000.0,2600000,2600000,2002,2002,197000.0
Honda,Pilot,1,17500000.0,17500000,17500000,2017,2017,87000.0
Honda,Stepwgn,1,5000000.0,5000000,5000000,2006,2006,160000.0
Honda,e:NP1,1,8500000.0,8500000,8500000,2022,2022,
Hongqi,E-HS9,1,22500000.0,22500000,22500000,2023,2023,15000.0
Hongqi,H5,1,16500000.0,16500000,16500000,2023,2023,
Hongqi,HS5,1,12900000.0,12900000,12900000,2024,2024,27000.0
Hyundai,Custin,1,16000000.0,16000000,16000000,2025,2025,19000.0
Hyundai,Custin Luxe,1,15901400.0,15901400,15901400,2025,2025,25.0
Hyundai,Custin Travel,1,13500000.0,13500000,13500000,2024,2024,37826.0
Hyundai,Elantra Comfort,1,7990000.0,7990000,7990000,2022,2022,69723.0
Hyundai,Elantra Prestige,1,9990000.0,9990000,9990000,2023,2023,53984.0
Hyundai,Kona,1,8450000.0,8450000,8450000,2020,2020,85666.0
Hyundai,Santa Fe Exclusive,1,19800000.0,19800000,19800000,2024,2024,20455.0
Hyundai,Sonata Active,1,14590000.0,14590000,14590000,2025,2025,9000.0
Hyundai,Tucson Classic AT 4WD,1,11490000.0,11490000,11490000,2022,2022,46461.0
Hyundai,Tucson Comfort 2.0 AT 4WD,1,10190000.0,10190000,10190000,2020,2020,41000.0
Hyundai,Tucson Travel 2.0 AT 2WD,1,11970000.0,11970000,11970000,2022,2022,63929.0
Hyundai,i40,1,8500000.0,8500000,8500000,2016,2016,185000.0
Hyundai,ix35,1,5900000.0,5900000,5900000,2014,2014,317000.0
Infiniti,EX35,1,5900000.0,5900000,5900000,2008,2008,230000.0
Infiniti,G35,1,6500000.0,6500000,6500000,2007,2007,
Infiniti,M35,1,5500000.0,5500000,5500000,2007,2007,
Infiniti,Q50,1,12000000.0,12000000,12000000,2018,2018,90000.0
Infiniti,Q60,1,19000000.0,19000000,19000000,2021,2021,30000.0
Infiniti,QX30,1,16000000.0,16000000,16000000,2019,2019,25000.0
Infiniti,QX50 Sensory/ProActive,1,11000000.0,11000000,11000000,2020,2020,69856.0
Infiniti,QX55,1,17000000.0,17000000,17000000,2021,2021,48000.0
Infiniti,QX55 Essential,1,19990000.0,19990000,19990000,2022,2022,
Infiniti,QX55 Essential Proactive,1,18390000.0,18390000,18390000,2021,2021,17139.0
Infiniti,QX80 Autograph,1,61542000.0,61542000,61542000,2024,2024,13394.0
Infiniti,QX80 Sensory,1,64799000.0,64799000,64799000,2025,2025,
Isuzu,VehiCross,1,8000000.0,8000000,8000000,1998,1998,327000.0
JAC,HFC 1027 PickUp,1,2200000.0,2200000,2200000,2007,2007,230000.0
JAC,J7 Comfort Plus,1,7690000.0,7690000,7690000,2025,2025,
JAC,J7 Luxury CVT,1,8890000.0,8890000,8890000,2025,2025,
JAC,JS4 Intelligent,1,9190000.0,9190000,9190000,2025,2025,
JAC,JS6 Comfort,1,8990000.0,8990000,8990000,2025,2025,
JAC,Sunray,1,8500000.0,8500000,8500000,2021,2021,130000.0
JAC,T6,1,7350000.0,7350000,7350000,2019,2019,180000.0
JAC,T6 Luxury,1,14790000.0,14790000,14790000,2025,2025,
