2026-04-28 17:12:29,266 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/215675276; brand_guess=Nissan target=Toyota title=Nissan Note за 3 000 000 \u20b8 Каскелен, 2007 г., Б/у хэтчбек, 1.6 л, бензин…
2026-04-28 17:12:29,267 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/214699675; brand_guess=Nissan target=Toyota title=Nissan Patrol за 4 000 000 \u20b8 Алматы, 1995 г., Б/у внедорожник, 2.8 л, дизель…
2026-04-28 17:12:29,268 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/213264426
2026-04-28 17:12:29,269 | INFO | kolesa_playwright_parser | brand page summary: brand=Toyota page=59 total_links_found=33 unique_main_card_links=30 duplicates_on_page=26 wrong_brand_on_page=4 detail_pages_opened=0 saved_on_page=0 wrong_brand_after_detail=0
2026-04-28 17:12:29,431 | INFO | kolesa_playwright_parser | current brand Toyota; current brand page number 60; current brand URL: https://kolesa.kz/cars/toyota/?page=60
2026-04-28 17:12:29,432 | INFO | kolesa_playwright_parser | current brand progress: Toyota 2074/3500 remaining=1426
2026-04-28 17:12:29,433 | INFO | kolesa_playwright_parser | fast skip page delay duration 2.9s before search request
2026-04-28 17:12:32,994 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/cars/toyota/?page=60
2026-04-28 17:12:33,970 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/197704679
2026-04-28 17:12:33,971 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/184922135
2026-04-28 17:12:33,972 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217173414
2026-04-28 17:12:33,972 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/215553128
2026-04-28 17:12:33,972 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217624716
2026-04-28 17:12:33,973 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218395905
2026-04-28 17:12:33,973 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217114186
2026-04-28 17:12:33,973 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/209058616
2026-04-28 17:12:33,974 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217107522
2026-04-28 17:12:33,974 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218402180
2026-04-28 17:12:33,974 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217969028
2026-04-28 17:12:33,974 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218471569
2026-04-28 17:12:33,975 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218456296
2026-04-28 17:12:33,975 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217094387
2026-04-28 17:12:33,975 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217953022
2026-04-28 17:12:33,976 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/208012999
2026-04-28 17:12:33,976 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/210122032
2026-04-28 17:12:33,977 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/215993301
2026-04-28 17:12:33,977 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218434393
2026-04-28 17:12:33,977 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/188030208
2026-04-28 17:12:33,978 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/215289168; brand_guess=Daewoo target=Toyota title=Daewoo Nexia за 1 500 000 \u20b8 Алматы, 2012 г., Б/у седан, 1.6 л, бензин…
2026-04-28 17:12:33,978 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/197393343
2026-04-28 17:12:33,978 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218176301
2026-04-28 17:12:33,978 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218176498
2026-04-28 17:12:33,979 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217516483
2026-04-28 17:12:33,979 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218176324
2026-04-28 17:12:33,979 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/217194758; brand_guess=Deepal target=Toyota title=Deepal S07 за 13 400 000 \u20b8 Шымкент, 2025 г., Б/у кроссовер, 1.5 л, гибрид…
2026-04-28 17:12:33,979 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/215675276; brand_guess=Nissan target=Toyota title=Nissan Note за 3 000 000 \u20b8 Каскелен, 2007 г., Б/у хэтчбек, 1.6 л, бензин…
2026-04-28 17:12:33,980 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/214699675; brand_guess=Nissan target=Toyota title=Nissan Patrol за 4 000 000 \u20b8 Алматы, 1995 г., Б/у внедорожник, 2.8 л, дизель…
2026-04-28 17:12:33,980 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/213264426
2026-04-28 17:12:33,980 | INFO | kolesa_playwright_parser | brand page summary: brand=Toyota page=60 total_links_found=33 unique_main_card_links=30 duplicates_on_page=26 wrong_brand_on_page=4 detail_pages_opened=0 saved_on_page=0 wrong_brand_after_detail=0
2026-04-28 17:12:34,095 | INFO | kolesa_playwright_parser | current brand Toyota; current brand page number 61; current brand URL: https://kolesa.kz/cars/toyota/?page=61
2026-04-28 17:12:34,096 | INFO | kolesa_playwright_parser | current brand progress: Toyota 2074/3500 remaining=1426
2026-04-28 17:12:34,096 | INFO | kolesa_playwright_parser | fast skip page delay duration 2.9s before search request
2026-04-28 17:12:38,135 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/cars/toyota/?page=61
2026-04-28 17:12:38,994 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/188030208
2026-04-28 17:12:38,995 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218434563
2026-04-28 17:12:38,996 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/215788406
2026-04-28 17:12:38,997 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217842384
2026-04-28 17:12:38,998 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/204889778
2026-04-28 17:12:39,000 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218418715
2026-04-28 17:12:39,000 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/216361522
2026-04-28 17:12:39,001 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217780499
2026-04-28 17:12:39,002 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/204880500
2026-04-28 17:12:39,002 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/216917661
2026-04-28 17:12:39,003 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/213452071
2026-04-28 17:12:39,003 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218383894
2026-04-28 17:12:39,004 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/213555267
2026-04-28 17:12:39,005 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/211561990
2026-04-28 17:12:39,006 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218351526
2026-04-28 17:12:39,007 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218327971
2026-04-28 17:12:39,008 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/215760170
2026-04-28 17:12:39,009 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218323925
2026-04-28 17:12:39,009 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/218439298
2026-04-28 17:12:39,010 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/217515094
2026-04-28 17:12:39,010 | INFO | kolesa_playwright_parser | skipped duplicate before detail request https://kolesa.kz/a/show/188170211
2026-04-28 17:12:39,160 | INFO | kolesa_playwright_parser | detail delay duration 6.6s before detail request
2026-04-28 17:12:45,793 | INFO | kolesa_playwright_parser | current brand Toyota; current listing URL https://kolesa.kz/a/show/208218502
2026-04-28 17:12:46,256 | INFO | kolesa_playwright_parser | HTTP status code 200 for https://kolesa.kz/a/show/208218502
2026-04-28 17:12:46,399 | INFO | kolesa_playwright_parser | skipped because wrong brand: https://kolesa.kz/a/show/208218502; wrong brand parsed=Zeekr target=Toyota
2026-04-28 17:12:46,400 | INFO | kolesa_playwright_parser | skipped wrong brand from card before detail request https://kolesa.kz/a/show/217431555; brand_guess=Hyundai target=Toyota title=Hyundai Santa Fe за 15 999 000 \u20b8 Астана, 2022 г., Б/у кроссовер, 2.5 л, бензин…
