2026-04-25 22:24:53,349 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/202642038
2026-04-25 22:24:59,518 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/218208746
2026-04-25 22:25:06,345 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/218208746
2026-04-25 22:25:10,291 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/215921929
2026-04-25 22:25:17,196 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/215921929
2026-04-25 22:25:22,803 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217267315
2026-04-25 22:25:29,712 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217267315
2026-04-25 22:25:35,904 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/171086990
2026-04-25 22:25:42,594 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/171086990
2026-04-25 22:25:47,549 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/202574183
2026-04-25 22:25:54,501 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/202574183
2026-04-25 22:25:58,080 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217722241
2026-04-25 22:26:04,796 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217722241
2026-04-25 22:26:09,209 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217285494
2026-04-25 22:26:16,058 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217285494
2026-04-25 22:26:19,436 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217709143
2026-04-25 22:26:26,336 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217709143
2026-04-25 22:26:32,107 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/216902160
2026-04-25 22:26:39,099 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/216902160
2026-04-25 22:26:42,927 | INFO | kolesa_parser | listing URL https://kolesa.kz/a/show/217686399
2026-04-25 22:26:49,841 | INFO | kolesa_parser | saved listing https://kolesa.kz/a/show/217686399
2026-04-25 22:28:12,561 | INFO | kolesa_parser | started mode report
2026-04-25 23:33:16,143 | INFO | kolesa_parser | started mode export
2026-04-25 23:55:56,919 | INFO | kolesa_parser | selected mode collect
2026-04-25 23:55:56,919 | INFO | kolesa_parser | selected engine http
2026-04-25 23:55:56,919 | INFO | kolesa_parser | target limit 100
2026-04-25 23:55:56,919 | INFO | kolesa_parser | current database count at start: 40
2026-04-25 23:55:56,920 | INFO | kolesa_parser | concurrency 2
2026-04-25 23:55:57,395 | INFO | kolesa_http_parser | current search page 1: https://kolesa.kz/cars/
2026-04-25 23:56:01,107 | INFO | httpx | HTTP Request: GET https://kolesa.kz/cars/ "HTTP/1.1 200 OK"
2026-04-25 23:56:01,144 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217500795
2026-04-25 23:56:01,145 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217608298
2026-04-25 23:56:01,145 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/191800863
2026-04-25 23:56:01,146 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/218219105
2026-04-25 23:56:01,146 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/214193228
2026-04-25 23:56:01,146 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/162949202
2026-04-25 23:56:01,146 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/200917555
2026-04-25 23:56:01,147 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217448517
2026-04-25 23:56:01,147 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/202090543
2026-04-25 23:56:01,147 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/218219693
2026-04-25 23:56:01,147 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/218219468
2026-04-25 23:56:01,147 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/157955094
2026-04-25 23:56:01,148 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/184477696
